Unnamed: 0,t,Ii,I_ss,V0_Vm,V_E,tms
12183,1.2182999999998825,-162.73279099452222,162.73279099452222,-150.0,-150.0,18.299999999882523
12184,1.2183999999998822,-161.15660311262465,161.15660311262465,-150.0,-150.0,18.39999999988229
12185,1.2184999999998822,-159.6120189976963,159.6120189976963,-150.0,-150.0,18.499999999882277
12186,1.2185999999998822,-158.09844390290598,158.09844390290598,-150.0,-150.0,18.599999999882264
12187,1.2186999999998822,-156.61529431476615,156.61529431476615,-150.0,-150.0,18.699999999882255
12188,1.2187999999998822,-155.16199734544898,155.16199734544898,-150.0,-150.0,18.799999999882246
12189,1.2188999999998822,-153.7379912749825,153.7379912749825,-150.0,-150.0,18.899999999882233
12190,1.2189999999998822,-152.34272466016932,152.34272466016932,-150.0,-150.0,18.99999999988222
12191,1.2190999999998822,-150.97565647987722,150.97565647987722,-150.0,-150.0,19.09999999988221
12192,1.2191999999998822,-149.6362559635255,149.6362559635255,-150.0,-150.0,19.199999999882202
12193,1.219299999999882,-148.3240020744843,148.3240020744843,-150.0,-150.0,19.29999999988197
12194,1.219399999999882,-147.03838380867052,147.03838380867052,-150.0,-150.0,19.399999999881956
12195,1.219499999999882,-145.77889983429867,145.77889983429867,-150.0,-150.0,19.499999999881943
12196,1.219599999999882,-144.54505802868044,144.54505802868044,-150.0,-150.0,19.599999999881934
12197,1.219699999999882,-143.33637490862117,143.33637490862117,-150.0,-150.0,19.699999999882145
12198,1.219799999999882,-142.15237697900577,142.15237697900577,-150.0,-150.0,19.799999999882132
12199,1.219899999999882,-140.99259962630993,140.99259962630993,-150.0,-150.0,19.899999999882123
12200,1.219999999999882,-139.85658633154287,139.85658633154287,-150.0,-150.0,19.999999999882114
12201,1.220099999999882,-138.7438892160987,138.7438892160987,-150.0,-150.0,20.0999999998821
12202,1.220199999999882,-137.65406931740466,137.65406931740466,-150.0,-150.0,20.19999999988209
12203,1.220299999999882,-136.58669549067156,136.58669549067156,-150.0,-150.0,20.29999999988208
12204,1.220399999999882,-135.5413443457335,135.5413443457335,-150.0,-150.0,20.39999999988207
12205,1.220499999999882,-134.51760133408715,134.51760133408715,-150.0,-150.0,20.499999999882057
12206,1.220599999999882,-133.51505920433735,133.51505920433735,-150.0,-150.0,20.599999999882044
12207,1.220699999999882,-132.53331767256765,132.53331767256765,-150.0,-150.0,20.699999999882035
12208,1.220799999999882,-131.57198448794804,131.57198448794804,-150.0,-150.0,20.799999999882026
12209,1.220899999999882,-130.6306755988354,130.6306755988354,-150.0,-150.0,20.899999999882013
12210,1.220999999999882,-129.70901279773477,129.70901279773477,-150.0,-150.0,20.999999999882
12211,1.221099999999882,-128.80662533148404,128.80662533148404,-150.0,-150.0,21.09999999988199
12212,1.221199999999882,-127.92314989237695,127.92314989237695,-150.0,-150.0,21.19999999988198
12213,1.221299999999882,-127.05822913003588,127.05822913003588,-150.0,-150.0,21.29999999988197
12214,1.221399999999882,-126.21151320292326,126.21151320292326,-150.0,-150.0,21.399999999881956
12215,1.221499999999882,-125.38265826711222,125.38265826711222,-150.0,-150.0,21.499999999881947
12216,1.221599999999882,-124.57132691845496,124.57132691845496,-150.0,-150.0,21.599999999881938
12217,1.221699999999882,-123.77718858287088,123.77718858287088,-150.0,-150.0,21.699999999882145
12218,1.221799999999882,-122.9999180287245,122.9999180287245,-150.0,-150.0,21.799999999882136
12219,1.221899999999882,-122.23919678738277,122.23919678738277,-150.0,-150.0,21.899999999882127
12220,1.2219999999998818,-121.49471213338694,121.49471213338694,-150.0,-150.0,21.999999999881894
12221,1.2220999999998818,-120.76615684374724,120.76615684374724,-150.0,-150.0,22.09999999988188
12222,1.2221999999998818,-120.05323004063442,120.05323004063442,-150.0,-150.0,22.199999999881868
12223,1.2222999999998818,-119.35563597274408,119.35563597274408,-150.0,-150.0,22.29999999988186
12224,1.2223999999998818,-118.6730844243524,118.6730844243524,-150.0,-150.0,22.39999999988185
12225,1.2224999999998818,-118.00529094014736,118.00529094014736,-150.0,-150.0,22.499999999881837
12226,1.2225999999998818,-117.35197599736534,117.35197599736534,-150.0,-150.0,22.599999999881824
12227,1.2226999999998818,-116.71286549816568,116.71286549816568,-150.0,-150.0,22.699999999881815
12228,1.2227999999998818,-116.08769046594875,116.08769046594875,-150.0,-150.0,22.799999999881805
12229,1.2228999999998815,-115.47618661881374,115.47618661881374,-150.0,-150.0,22.899999999881572
12230,1.2229999999998815,-114.87809506001447,114.87809506001447,-150.0,-150.0,22.99999999988156
12231,1.2230999999998815,-114.29316163681447,114.29316163681447,-150.0,-150.0,23.099999999881547
12232,1.2231999999998815,-113.72113651046334,113.72113651046334,-150.0,-150.0,23.199999999881538
12233,1.2232999999998817,-113.1617743847016,113.1617743847016,-150.0,-150.0,23.29999999988175
12234,1.2233999999998817,-112.6148356396676,112.6148356396676,-150.0,-150.0,23.399999999881736
12235,1.2234999999998817,-112.08008432976877,112.08008432976877,-150.0,-150.0,23.499999999881727
12236,1.2235999999998817,-111.5572884735418,111.5572884735418,-150.0,-150.0,23.599999999881717
12237,1.2236999999998817,-111.04622111343836,111.04622111343836,-150.0,-150.0,23.699999999881705
12238,1.2237999999998816,-110.54665941627572,110.54665941627572,-150.0,-150.0,23.799999999881692
12239,1.2238999999998816,-110.05838422746623,110.05838422746623,-150.0,-150.0,23.899999999881683
12240,1.2239999999998816,-109.58118111109246,109.58118111109246,-150.0,-150.0,23.999999999881673
12241,1.2240999999998816,-109.11483926265468,109.11483926265468,-150.0,-150.0,24.09999999988166
12242,1.2241999999998816,-108.659151579547,108.659151579547,-150.0,-150.0,24.199999999881648
12243,1.2242999999998816,-108.21391542549,108.21391542549,-150.0,-150.0,24.29999999988164
12244,1.2243999999998816,-107.77893136913444,107.77893136913444,-150.0,-150.0,24.39999999988163
12245,1.2244999999998816,-107.35400377777272,107.35400377777272,-150.0,-150.0,24.499999999881616
12246,1.2245999999998816,-106.93894107915612,106.93894107915612,-150.0,-150.0,24.599999999881604
12247,1.2246999999998816,-106.53355463564232,106.53355463564232,-150.0,-150.0,24.699999999881594
12248,1.2247999999998815,-106.13765965521648,106.13765965521648,-150.0,-150.0,24.799999999881585
12249,1.2248999999998815,-105.7510749596284,105.7510749596284,-150.0,-150.0,24.899999999881572
12250,1.2249999999998815,-105.37362224838758,105.37362224838758,-150.0,-150.0,24.99999999988156
12251,1.2250999999998815,-105.00512683919816,105.00512683919816,-150.0,-150.0,25.09999999988155
12252,1.2251999999998815,-104.64541740689444,104.64541740689444,-150.0,-150.0,25.19999999988154
12253,1.2252999999998817,-104.29432546791726,104.29432546791726,-150.0,-150.0,25.29999999988175
12254,1.2253999999998817,-103.95168588159493,103.95168588159493,-150.0,-150.0,25.39999999988174
12255,1.2254999999998817,-103.61733659551965,103.61733659551965,-150.0,-150.0,25.49999999988173
12256,1.2255999999998817,-103.29111825743864,103.29111825743864,-150.0,-150.0,25.599999999881717
12257,1.2256999999998814,-102.97287494829811,102.97287494829811,-150.0,-150.0,25.699999999881484
12258,1.2257999999998814,-102.66245325258537,102.66245325258537,-150.0,-150.0,25.79999999988147
12259,1.2258999999998814,-102.35970273220404,102.35970273220404,-150.0,-150.0,25.899999999881462
12260,1.2259999999998814,-102.064476012118,102.064476012118,-150.0,-150.0,25.999999999881453
12261,1.2260999999998814,-101.77662777829462,101.77662777829462,-150.0,-150.0,26.09999999988144
12262,1.2261999999998814,-101.4960161023739,101.4960161023739,-150.0,-150.0,26.199999999881427
12263,1.2262999999998814,-101.22250130892084,101.22250130892084,-150.0,-150.0,26.29999999988142
12264,1.2263999999998814,-100.95594610160408,100.95594610160408,-150.0,-150.0,26.39999999988141
12265,1.2264999999998814,-100.69621654500646,100.69621654500646,-150.0,-150.0,26.499999999881396
12266,1.2265999999998811,-100.44318029246108,100.44318029246108,-150.0,-150.0,26.599999999881163
12267,1.226699999999881,-100.19670778970894,100.19670778970894,-150.0,-150.0,26.69999999988115
12268,1.226799999999881,-99.9566722969519,99.9566722969519,-150.0,-150.0,26.79999999988114
12269,1.2268999999998813,-99.72294852075184,99.72294852075184,-150.0,-150.0,26.899999999881352
12270,1.2269999999998813,-99.4954142635259,99.4954142635259,-150.0,-150.0,26.99999999988134
12271,1.2270999999998813,-99.2739494739061,99.2739494739061,-150.0,-150.0,27.09999999988133
12272,1.2271999999998813,-99.05843568476752,99.05843568476752,-150.0,-150.0,27.19999999988132
12273,1.2272999999998813,-98.84875758617666,98.84875758617666,-150.0,-150.0,27.299999999881308
12274,1.2273999999998813,-98.64480137594302,98.64480137594302,-150.0,-150.0,27.399999999881295
12275,1.2274999999998812,-98.44645519529244,98.44645519529244,-150.0,-150.0,27.499999999881286
12276,1.2275999999998812,-98.2536101259134,98.2536101259134,-150.0,-150.0,27.599999999881277
12277,1.2276999999998812,-98.06615824511891,98.06615824511891,-150.0,-150.0,27.699999999881264
12278,1.2277999999998812,-97.88399408821957,97.88399408821957,-150.0,-150.0,27.79999999988125
12279,1.2278999999998812,-97.70701459646672,97.70701459646672,-150.0,-150.0,27.899999999881242
12280,1.2279999999998812,-97.53511754861611,97.53511754861611,-150.0,-150.0,27.999999999881233
12281,1.2280999999998812,-97.368203529889,97.368203529889,-150.0,-150.0,28.09999999988122
12282,1.2281999999998812,-97.2061748466261,97.2061748466261,-150.0,-150.0,28.199999999881207
12283,1.2282999999998812,-97.04893478403451,97.04893478403451,-150.0,-150.0,28.299999999881198
12284,1.2283999999998811,-96.8963898281648,96.8963898281648,-150.0,-150.0,28.39999999988119
12285,1.2284999999998811,-96.74844704230048,96.74844704230048,-150.0,-150.0,28.499999999881176
12286,1.2285999999998811,-96.60501524473638,96.60501524473638,-150.0,-150.0,28.599999999881163
12287,1.228699999999881,-96.46600603567325,96.46600603567325,-150.0,-150.0,28.699999999881154
12288,1.228799999999881,-96.3313312616938,96.3313312616938,-150.0,-150.0,28.799999999881145
12289,1.228899999999881,-96.2009050411832,96.2009050411832,-150.0,-150.0,28.899999999881132
12290,1.228999999999881,-96.07464363006244,96.07464363006244,-150.0,-150.0,28.99999999988112
12291,1.229099999999881,-95.95246369745246,95.95246369745246,-150.0,-150.0,29.09999999988111
12292,1.229199999999881,-95.8342841519782,95.8342841519782,-150.0,-150.0,29.1999999998811
12293,1.229299999999881,-95.72002563825356,95.72002563825356,-150.0,-150.0,29.299999999881088
12294,1.229399999999881,-95.6096093010767,95.6096093010767,-150.0,-150.0,29.399999999881075
12295,1.229499999999881,-95.50295873771672,95.50295873771672,-150.0,-150.0,29.499999999881066
12296,1.229599999999881,-95.3999986557398,95.3999986557398,-150.0,-150.0,29.599999999881057
12297,1.229699999999881,-95.300654576267,95.300654576267,-150.0,-150.0,29.699999999881044
12298,1.229799999999881,-95.20485440791512,95.20485440791512,-150.0,-150.0,29.79999999988103
12299,1.229899999999881,-95.1125266790996,95.1125266790996,-150.0,-150.0,29.89999999988102
12300,1.229999999999881,-95.02360112177888,95.02360112177888,-150.0,-150.0,29.999999999881013
12301,1.230099999999881,-94.9380096823778,94.9380096823778,-150.0,-150.0,30.099999999881
12302,1.230199999999881,-94.8556846220096,94.8556846220096,-150.0,-150.0,30.199999999880987
12303,1.230299999999881,-94.77655939567128,94.77655939567128,-150.0,-150.0,30.299999999880978
12304,1.230399999999881,-94.70056986069524,94.70056986069524,-150.0,-150.0,30.39999999988097
12305,1.230499999999881,-94.62765181449748,94.62765181449748,-150.0,-150.0,30.499999999880956
12306,1.230599999999881,-94.55774281399653,94.55774281399653,-150.0,-150.0,30.599999999880943
12307,1.230699999999881,-94.4907814552479,94.4907814552479,-150.0,-150.0,30.699999999880934
12308,1.2307999999998809,-94.42670738347428,94.42670738347428,-150.0,-150.0,30.799999999880924
12309,1.2308999999998809,-94.365461657839,94.365461657839,-150.0,-150.0,30.89999999988091
12310,1.2309999999998809,-94.30698616542767,94.30698616542767,-150.0,-150.0,30.9999999998809
12311,1.2310999999998808,-94.25122380640744,94.25122380640744,-150.0,-150.0,31.09999999988089
12312,1.2311999999998808,-94.1981187209448,94.1981187209448,-150.0,-150.0,31.19999999988088
12313,1.2312999999998808,-94.14761610312044,94.14761610312044,-150.0,-150.0,31.299999999880868
12314,1.2313999999998808,-94.09966197811772,94.09966197811772,-150.0,-150.0,31.399999999880855
12315,1.2314999999998808,-94.0542035743518,94.0542035743518,-150.0,-150.0,31.499999999880846
12316,1.2315999999998808,-94.01118894821788,94.01118894821788,-150.0,-150.0,31.599999999880836
12317,1.2316999999998808,-93.9705670947916,93.9705670947916,-150.0,-150.0,31.699999999880824
12318,1.2317999999998808,-93.93228819009768,93.93228819009768,-150.0,-150.0,31.79999999988081
12319,1.2318999999998808,-93.89630314796656,93.89630314796656,-150.0,-150.0,31.8999999998808
12320,1.2319999999998807,-93.86256367353386,93.86256367353386,-150.0,-150.0,31.999999999880792
12321,1.2320999999998807,-93.83102247692642,93.83102247692642,-150.0,-150.0,32.09999999988078
12322,1.2321999999998807,-93.80163339923456,93.80163339923456,-150.0,-150.0,32.19999999988077
12323,1.2322999999998807,-93.77435064276769,93.77435064276769,-150.0,-150.0,32.299999999880754
12324,1.2323999999998807,-93.74912979087026,93.74912979087026,-150.0,-150.0,32.39999999988075
12325,1.2324999999998807,-93.72592681377502,93.72592681377502,-150.0,-150.0,32.499999999880735
12326,1.232599999999881,-93.70469878125674,93.70469878125674,-150.0,-150.0,32.59999999988095
12327,1.232699999999881,-93.6854033367646,93.6854033367646,-150.0,-150.0,32.69999999988094
12328,1.2327999999998809,-93.6679990708185,93.6679990708185,-150.0,-150.0,32.799999999880924
12329,1.2328999999998806,-93.65244539840762,93.65244539840762,-150.0,-150.0,32.89999999988069
12330,1.2329999999998806,-93.63870221450604,93.63870221450604,-150.0,-150.0,32.99999999988068
12331,1.2330999999998806,-93.62673044618536,93.62673044618536,-150.0,-150.0,33.099999999880666
12332,1.2331999999998806,-93.61649157814034,93.61649157814034,-150.0,-150.0,33.19999999988066
12333,1.2332999999998806,-93.60794785314532,93.60794785314532,-150.0,-150.0,33.29999999988065
12334,1.2333999999998806,-93.60106228943812,93.60106228943812,-150.0,-150.0,33.399999999880635
12335,1.2334999999998806,-93.59579850675448,93.59579850675448,-150.0,-150.0,33.49999999988063
12336,1.2335999999998806,-93.59212068752542,93.59212068752542,-150.0,-150.0,33.599999999880616
12337,1.2336999999998806,-93.58999400771653,93.58999400771653,-150.0,-150.0,33.6999999998806
12338,1.2337999999998803,-93.5893841162487,93.5893841162487,-150.0,-150.0,33.79999999988037
12339,1.2338999999998803,-93.5902571595949,93.5902571595949,-150.0,-150.0,33.89999999988036
12340,1.2339999999998803,-93.5925799688274,93.5925799688274,-150.0,-150.0,33.999999999880345
12341,1.2340999999998803,-93.59632025432998,93.59632025432998,-150.0,-150.0,34.09999999988034
12342,1.2341999999998805,-93.60144612119062,93.60144612119062,-150.0,-150.0,34.199999999880546
12343,1.2342999999998805,-93.60792621967109,93.60792621967109,-150.0,-150.0,34.29999999988054
12344,1.2343999999998805,-93.6157298212187,93.6157298212187,-150.0,-150.0,34.39999999988053
12345,1.2344999999998805,-93.62482687440884,93.62482687440884,-150.0,-150.0,34.499999999880515
12346,1.2345999999998805,-93.63518782820144,93.63518782820144,-150.0,-150.0,34.5999999998805
12347,1.2346999999998804,-93.64678357132622,93.64678357132622,-150.0,-150.0,34.69999999988049
12348,1.2347999999998804,-93.65958555462709,93.65958555462709,-150.0,-150.0,34.799999999880484
12349,1.2348999999998804,-93.67356584855278,93.67356584855278,-150.0,-150.0,34.89999999988047
12350,1.2349999999998804,-93.6886974044314,93.6886974044314,-150.0,-150.0,34.99999999988046
12351,1.2350999999998804,-93.7049533675545,93.7049533675545,-150.0,-150.0,35.09999999988045
12352,1.2351999999998804,-93.7223070628628,93.7223070628628,-150.0,-150.0,35.19999999988044
12353,1.2352999999998804,-93.74073225758984,93.74073225758984,-150.0,-150.0,35.29999999988043
12354,1.2353999999998804,-93.76020351964463,93.76020351964463,-150.0,-150.0,35.399999999880414
12355,1.2354999999998804,-93.78069675740706,93.78069675740706,-150.0,-150.0,35.4999999998804
12356,1.2355999999998803,-93.80218735849796,93.80218735849796,-150.0,-150.0,35.599999999880396
12357,1.2356999999998803,-93.82465071753664,93.82465071753664,-150.0,-150.0,35.69999999988038
12358,1.2357999999998803,-93.84806333228548,93.84806333228548,-150.0,-150.0,35.79999999988037
12359,1.2358999999998803,-93.87240270765788,93.87240270765788,-150.0,-150.0,35.899999999880364
12360,1.2359999999998803,-93.89764557813824,93.89764557813824,-150.0,-150.0,35.99999999988035
12361,1.2360999999998803,-93.92376947418995,93.92376947418995,-150.0,-150.0,36.09999999988034
12362,1.2361999999998805,-93.95075342037788,93.95075342037788,-150.0,-150.0,36.199999999880546
12363,1.2362999999998805,-93.97857541564696,93.97857541564696,-150.0,-150.0,36.29999999988054
12364,1.2363999999998805,-94.00721449394126,94.00721449394126,-150.0,-150.0,36.39999999988053
12365,1.2364999999998805,-94.03665022669148,94.03665022669148,-150.0,-150.0,36.499999999880515
12366,1.2365999999998802,-94.06686210004348,94.06686210004348,-150.0,-150.0,36.59999999988028
12367,1.2366999999998802,-94.09783055710774,94.09783055710774,-150.0,-150.0,36.699999999880276
12368,1.2367999999998802,-94.12953582069464,94.12953582069464,-150.0,-150.0,36.799999999880264
12369,1.2368999999998802,-94.1619591503945,94.1619591503945,-150.0,-150.0,36.89999999988025
12370,1.2369999999998802,-94.19508155673655,94.19508155673655,-150.0,-150.0,36.99999999988024
12371,1.2370999999998802,-94.228884684866,94.228884684866,-150.0,-150.0,37.099999999880225
12372,1.2371999999998802,-94.2633506159452,94.2633506159452,-150.0,-150.0,37.19999999988022
12373,1.2372999999998802,-94.29846145129014,94.29846145129014,-150.0,-150.0,37.29999999988021
